Ticker,Cluster,_END_DATE,_END_CLOSE
NVDA,0,2025-10-29,207.04
TSLA,0,2025-12-16,489.88
PLTR,0,2025-11-03,207.18
IREN,1,2025-11-05,76.41
BE,3,2026-02-03,168.89
ASTS,3,2026-01-29,122.09
HOOD,3,2025-10-09,152.46
OKLO,1,2025-10-14,174.14
NBIS,3,2025-10-13,135.46
ABAT,2,2025-10-14,11.33
AMD,4,2025-10-29,264.33
RGTI,1,2025-10-15,56.34
AAPL,0,2025-12-02,286.19
LLY,4,2025-11-25,1109.94
SMR,4,2025-10-15,53.43
FLNC,4,2026-02-03,32.23
IONQ,3,2025-10-13,82.09
QBTS,1,2025-10-15,44.78
MU,3,2026-02-02,437.8
TSM,0,2026-02-11,374.09
INTC,4,2026-01-22,54.32
NVO,0,2024-06-25,146.91
RKLB,3,2026-01-16,96.3
ADBE,0,2024-02-02,634.76
NFLX,0,2025-06-30,133.913
GOOGL,0,2026-02-02,343.69
MSFT,0,2025-10-28,542.07
META,0,2025-08-12,790.0
UNH,0,2024-11-11,615.838
AVGO,0,2025-12-10,412.97
